book_slug,count
23437156-six-of-crows,65
3.Harry_Potter_and_the_Sorcerer_s_Stone,65
15881.Harry_Potter_and_the_Chamber_of_Secrets,64
5.Harry_Potter_and_the_Prisoner_of_Azkaban,63
2767052-the-hunger-games,61
136251.Harry_Potter_and_the_Deathly_Hallows,60
6148028-catching-fire,58
6.Harry_Potter_and_the_Goblet_of_Fire,57
50623864-the-invisible-life-of-addie-larue,49
32620332-the-seven-husbands-of-evelyn-hugo,49
11870085-the-fault-in-our-stars,47
2.Harry_Potter_and_the_Order_of_the_Phoenix,47
13206760-scarlet,46
7260188-mockingjay,45
2657.To_Kill_a_Mockingbird,44
19063.The_Book_Thief,43
17675462-the-raven-boys,43
13206828-cress,42
4671.The_Great_Gatsby,41
17347389-the-dream-thieves,41
1.Harry_Potter_and_the_Half_Blood_Prince,41
11235712-cinder,37
13104080-unravel-me,37
28187.The_Lightning_Thief,37
16096824-a-court-of-thorns-and-roses,37
10194157-shadow-and-bone,36
27362503-it-ends-with-us,36
17167166-crown-of-midnight,35
41865.Twilight,35
20613470-heir-of-fire,34
18143977-all-the-light-we-cannot-see,34
13206900-winter,34
7171637-clockwork-angel,34
26032825-the-cruel-prince,34
3777732-city-of-glass,34
1885.Pride_and_Prejudice,33
13188676-ignite-me,33
9275658-legend,33
77203.The_Kite_Runner,32
8490112-daughter-of-smoke-bone,32
256683.City_of_Bones,32
22055262-a-darker-shade-of-magic,32
21853621-the-nightingale,32
186074.The_Name_of_the_Wind,31
26032887-the-wicked-king,31
10025305-clockwork-prince,31
35959740-circe,31
23395680-illuminae,30
18798983-the-wrath-and-the-dawn,30
22299763-crooked-kingdom,30
30319086-if-we-were-villains,30
2120932.The_Battle_of_the_Labyrinth,30
561456.The_Titan_s_Curse,30
43263680-ninth-house,30
32075671-the-hate-u-give,30
15704307-saga-volume-1,29
16068905-fangirl,29
28954189-scythe,29
5907.The_Hobbit_or_There_and_Back_Again,29
13335037-divergent,29
41150487-red-white-royal-blue,29
10507293-the-selection,29
28186.The_Sea_of_Monsters,29
40597810-daisy-jones-the-six,29
99561.Looking_for_Alaska,28
18006496-queen-of-shadows,28
428263.Eclipse,28
5470.1984,28
19547856-simon-vs-the-homo-sapiens-agenda,28
7126.The_Count_of_Monte_Cristo,28
38447.The_Handmaid_s_Tale,27
9361589-the-night-circus,27
29939230-a-conjuring-of-light,27
157993.The_Little_Prince,27
8621462-a-monster-calls,27
20764879-a-gathering-of-shadows,27
44890081-my-dark-vanessa,27
2802316-shadow-kiss,27
17131869-saga-volume-2,26
7896527-throne-of-glass,26
10210.Jane_Eyre,26
18135.Romeo_and_Juliet,26
1582996.City_of_Ashes,26
345627.Vampire_Academy,26
49041.New_Moon,26
13638125-vicious,26
12000020-aristotle-and-dante-discover-the-secrets-of-the-universe,25
52867387-beach-read,25
5107.The_Catcher_in_the_Rye,25
16299.And_Then_There_Were_None,25
13496.A_Game_of_Thrones,25
19288043-gone-girl,25
11735983-insurgent,25
35133922-educated,25
42201395-sorcery-of-thorns,25
10929432-the-archived,24
13623150-destroy-me,24
14061955-siege-and-storm,24
19358975-saga-volume-3,24
17378508-blue-lily-lily-blue,24
22489107-fairest,24
100915.The_Lion_the_Witch_and_the_Wardrobe,24
1656001.The_Host,24
34728667-children-of-blood-and-bone,24
25494343-lady-midnight,24
1162543.Breaking_Dawn,24
2282133.Frostbite,24
5996153-blood-promise,24
22328546-red-queen,24
35068705-the-poppy-war,23
19161852-the-fifth-season,23
33555224-thunderhead,23
8755785-city-of-heavenly-fire,23
15749186-to-all-the-boys-i-ve-loved-before,23
18774964-a-man-called-ove,23
23174274-glass-sword,23
14061957-ruin-and-rising,22
16143347-we-were-liars,22
24178.Charlotte_s_Web,22
18007564-the-martian,22
890.Of_Mice_and_Men,22
15745753-eleanor-park,22
26032912-the-queen-of-nothing,22
7445.The_Glass_Castle,22
10576365-the-darkest-minds,22
18584855-heartless,22
34499221-to-kill-a-kingdom,22
27190613-and-i-darken,22
2429135.The_Girl_With_the_Dragon_Tattoo,21
119322.The_Golden_Compass,21
12578077-obsidian,21
17378527-the-raven-king,21
20560137-an-ember-in-the-ashes,21
6752378-city-of-fallen-angels,21
11408650-the-unbecoming-of-mara-dyer,21
40916679-a-good-girl-s-guide-to-murder,21
40097951-the-silent-patient,21
78411.The_Bad_Beginning,21
6479259-spirit-bound,21
10429045-shatter-me,21
13414446-prodigy,21
16101128-the-5th-wave,21
51791252-the-vanishing-half,21
194802722-funny-story,21
36199084-the-kiss-quotient,21
27883214-caraval,21
9969571-ready-player-one,20
12127750-the-mark-of-athena,20
8755776-city-of-lost-souls,20
370493.The_Giving_Tree,20
22628.The_Perks_of_Being_a_Wallflower,20
